x,y,z,intensity
127,7,88,86.0
127,7,89,80.0
127,7,90,79.0
127,7,91,75.0
127,7,92,62.0
127,7,93,82.0
127,7,94,78.0
127,7,95,56.0
127,7,96,61.0
127,7,97,71.0
127,7,98,65.0
127,7,99,57.0
127,7,100,70.0
127,7,101,89.0
127,7,102,106.0
127,7,103,127.0
127,8,73,86.0
127,8,74,80.0
127,8,75,72.0
127,8,76,60.0
127,8,77,52.0
127,8,78,44.0
127,8,79,40.0
127,8,80,48.0
127,8,81,52.0
127,8,82,55.0
127,8,83,66.0
127,8,84,61.0
127,8,85,71.0
127,8,86,60.0
127,8,87,57.0
127,8,88,85.0
127,8,89,81.0
127,8,90,84.0
127,8,91,110.0
127,8,92,120.0
128,5,101,125.0
128,5,102,114.0
128,5,103,108.0
128,5,104,94.0
128,5,105,83.0
128,5,106,90.0
128,5,107,85.0
128,5,108,73.0
128,5,109,69.0
128,5,110,77.0
128,5,111,79.0
128,5,112,82.0
128,5,113,79.0
128,5,114,77.0
128,6,86,116.0
128,6,87,115.0
128,6,88,104.0
128,6,89,110.0
128,6,90,100.0
128,6,91,96.0
128,6,92,94.0
128,6,93,96.0
128,6,94,82.0
128,6,95,72.0
128,6,96,83.0
128,6,97,96.0
128,6,98,75.0
128,6,99,71.0
128,6,100,79.0
128,6,101,77.0
128,6,102,80.0
128,6,103,84.0
128,6,104,78.0
128,6,105,80.0
128,6,106,66.0
128,6,107,71.0
128,6,108,85.0
128,6,109,91.0
128,7,72,120.0
128,7,73,114.0
128,7,74,104.0
128,7,75,91.0
128,7,76,87.0
128,7,77,87.0
128,7,78,79.0
128,7,79,71.0
128,7,80,75.0
128,7,81,80.0
128,7,82,85.0
128,7,83,88.0
128,7,84,85.0
128,7,85,79.0
128,7,86,67.0
128,7,87,69.0
128,7,88,73.0
128,7,89,66.0
128,7,90,65.0
128,7,91,76.0
128,7,92,56.0
128,7,93,62.0
128,7,94,76.0
128,7,95,67.0
128,7,96,54.0
128,7,97,67.0
128,7,98,83.0
128,7,99,69.0
128,7,100,74.0
128,8,69,84.0
128,8,70,70.0
128,8,71,75.0
128,8,72,77.0
128,8,73,67.0
128,8,74,61.0
128,8,75,61.0
128,8,76,56.0
128,8,77,52.0
128,8,78,53.0
128,8,79,48.0
128,8,80,49.0
128,8,81,49.0
128,8,82,48.0
128,8,83,60.0
128,8,84,56.0
128,8,85,69.0
128,8,86,57.0
128,8,87,65.0
128,8,88,110.0
128,8,89,104.0
129,5,101,109.0
129,5,102,95.0
129,5,103,97.0
129,5,104,92.0
129,5,105,78.0
129,5,106,77.0
129,5,107,76.0
129,5,108,72.0
129,5,109,74.0
129,5,110,78.0
